# time totalContactTime
309.6000 38997.0000
310.6000 39123.0000
311.6000 39249.0000
312.6000 39375.0000
313.6000 39501.0000
314.6000 39627.0000
315.6000 39753.0000
316.6000 39879.0000
317.6000 40005.0000
318.6000 40131.0000
319.6000 40257.0000
320.6000 40383.0000
321.6000 40509.0000
322.6000 40635.0000
323.6000 40761.0000
324.6000 40887.0000
325.6000 41013.0000
326.6000 41139.0000
327.6000 41265.0000
328.6000 41391.0000
329.6000 41517.0000
330.6000 41643.0000
331.6000 41769.0000
332.6000 41895.0000
333.6000 42021.0000
334.6000 42147.0000
335.6000 42273.0000
336.6000 42399.0000
337.6000 42525.0000
338.6000 42651.0000
339.6000 42777.0000
340.6000 42903.0000
341.6000 43029.0000
342.6000 43155.0000
343.6000 43281.0000
344.6000 43407.0000
345.6000 43533.0000
346.6000 43659.0000
347.6000 43785.0000
348.6000 43911.0000
349.6000 44037.0000
350.6000 44163.0000
351.6000 44289.0000
352.6000 44415.0000
353.6000 44541.0000
354.6000 44667.0000
355.6000 44793.0000
356.6000 44919.0000
357.6000 45045.0000
358.6000 45171.0000
359.6000 45297.0000
360.6000 45423.0000
361.6000 45549.0000
362.6000 45675.0000
363.6000 45801.0000
364.6000 45927.0000
365.6000 46053.0000
366.6000 46179.0000
367.6000 46305.0000
368.6000 46431.0000
369.6000 46557.0000
370.6000 46683.0000
371.6000 46809.0000
372.6000 46935.0000
373.6000 47061.0000
374.6000 47187.0000
375.6000 47313.0000
376.6000 47439.0000
377.6000 47565.0000
378.6000 47691.0000
379.6000 47817.0000
380.6000 47943.0000
381.6000 48069.0000
382.6000 48195.0000
383.6000 48321.0000
384.6000 48447.0000
385.6000 48573.0000
386.6000 48699.0000
387.6000 48825.0000
388.6000 48951.0000
389.6000 49077.0000
390.6000 49203.0000
391.6000 49329.0000
392.6000 49455.0000
393.6000 49581.0000
394.6000 49707.0000
395.6000 49833.0000
396.6000 49959.0000
397.6000 50085.0000
398.6000 50211.0000
399.6000 50337.0000
400.6000 50463.0000
401.6000 50589.0000
402.6000 50715.0000
403.6000 50841.0000
404.6000 50967.0000
405.6000 51093.0000
406.6000 51219.0000
407.6000 51345.0000
408.6000 51471.0000
409.6000 51597.0000
410.6000 51723.0000
411.6000 51849.0000
412.6000 51975.0000
413.6000 52101.0000
414.6000 52227.0000
415.6000 52353.0000
416.6000 52479.0000
417.6000 52605.0000
418.6000 52731.0000
419.6000 52857.0000
420.6000 52983.0000
421.6000 53109.0000
422.6000 53235.0000
423.6000 53361.0000
424.6000 53487.0000
425.6000 53613.0000
426.6000 53739.0000
427.6000 53865.0000
428.6000 53991.0000
429.6000 54117.0000
430.6000 54243.0000
431.6000 54369.0000
432.6000 54495.0000
433.6000 54621.0000
434.6000 54747.0000
435.6000 54873.0000
436.6000 54999.0000
437.6000 55125.0000
438.6000 55251.0000
439.6000 55377.0000
440.6000 55503.0000
