0	0	0
1	32	28
2	15	15
3	22	22
4	23	23
5	17	17
6	38	36
7	23	22
8	21	21
9	24	23
10	21	20
11	25	24
12	14	14
13	35	34
14	15	15
15	18	18
16	20	19
17	25	23
18	24	22
19	29	29
20	35	34
21	19	18
22	21	20
23	41	35
24	27	24
25	41	37
26	28	27
27	10	9
28	22	21
29	21	21
30	30	27
31	11	10
32	31	28
33	15	15
34	22	22
35	17	16
36	23	23
37	21	20
38	31	30
39	24	22
40	36	33
41	22	21
42	23	23
43	36	34
44	28	28
45	18	18
46	34	32
47	23	23
48	26	23
49	18	18
50	24	24
51	34	33
52	18	17
53	30	28
54	41	37
55	29	28
56	25	24
57	19	19
58	29	28
59	22	19
60	30	28
61	25	23
62	18	18
63	16	16
64	25	24
65	27	26
66	24	23
67	20	18
68	17	15
69	22	22
70	22	21
71	34	32
72	16	16
73	28	28
74	26	25
75	47	42
76	18	17
77	38	37
78	34	31
79	24	20
80	37	34
81	18	16
82	28	26
83	27	27
84	26	23
85	26	25
86	23	23
87	15	15
88	22	20
89	21	18
90	22	22
91	27	26
92	27	26
93	28	28
94	20	19
95	12	12
96	24	24
97	17	17
98	22	22
99	5	4
100	30	28
101	30	28
102	19	17
103	14	12
104	27	26
105	16	14
106	28	27
107	18	14
108	20	19
109	17	15
110	24	21
111	19	19
112	33	30
113	8	8
114	7	5
115	36	33
116	30	27
117	25	21
118	35	29
119	21	21
120	36	33
121	26	24
122	19	19
123	21	19
124	25	24
125	23	23
126	30	29
127	23	23
128	27	26
129	28	27
130	20	18
131	10	10
132	15	12
133	15	15
134	12	12
135	24	24
136	24	22
137	30	29
138	13	13
139	15	15
140	19	18
141	13	13
142	19	16
143	28	27
144	21	17
145	13	12
146	37	34
147	33	32
148	28	27
149	13	13
150	23	23
151	26	24
152	23	22
153	24	22
154	21	21
155	33	31
156	18	18
157	31	28
158	27	27
159	18	16
160	30	29
161	20	19
162	42	37
163	29	29
164	20	20
165	23	23
166	25	25
167	25	25
168	29	29
169	27	24
170	34	31
171	33	32
172	23	22
173	31	28
174	44	41
175	31	30
176	10	10
177	19	19
178	18	17
179	23	23
180	22	22
181	22	21
182	43	39
183	27	25
184	27	27
185	25	23
186	21	19
187	36	33
188	24	23
189	25	24
190	19	18
191	18	18
192	26	24
193	29	28
194	18	17
195	32	30
196	25	25
197	28	27
198	23	22
199	23	21
200	26	24
201	1	1
202	1	1
203	12	10
204	21	16
205	0	0
206	2	2
207	0	0
208	39	28
209	25	25
210	41	38
211	3	3
212	26	24
213	3	3
214	5	4
215	17	13
216	7	7
217	3	3
218	19	18
219	0	0
220	4	4
221	6	6
222	18	15
223	60	51
224	0	0
225	6	6
226	3	3
227	9	8
228	1	1
229	2	2
230	0	0
231	2	1
232	6	3
233	0	0
